gid,'CO4-Pop-1_CGATGT_L001_R1_001', 'CO4-Pop-2_AGTCAA_L003_R1_001', 'CO4-Pop-3_AGTTCC_L003_R1_001', 'CO4-Pop-4_ATGTCA_L003_R1_001', 'GSE-Pop-1_GATCAG_L002_R1_001', 'GSE-Pop-2_TAGCTT_L002_R1_001', 'GSE-Pop-3_GGCTAC_L002_R1_001', 'GSE-Pop-4_CTTGTA_L002_R1_001'
Potri.006G211100,319, 320, 367, 161, 214, 176, 151, 217
Potri.005G173200,133, 173, 133, 187, 188, 197, 159, 164
Potri.010G068400,242, 341, 242, 336, 348, 335, 272, 299
Potri.006G075700,3, 4, 2, 1, 4, 2, 3, 0
Potri.005G100000,114, 102, 74, 74, 89, 98, 60, 86
Potri.018G020300,2, 2, 3, 0, 2, 2, 2, 6
Potri.003G173100,94, 118, 135, 142, 56, 198, 326, 90
Potri.016G048200,36, 44, 18, 85, 76, 54, 44, 48
Potri.012G013500,0, 0, 0, 0, 0, 1, 0, 0
Potri.003G119800,218, 282, 190, 353, 319, 335, 250, 268
Potri.004G116800,371, 381, 386, 291, 318, 308, 234, 280
Potri.014G040600,99, 122, 115, 89, 116, 99, 90, 98
Potri.011G042800,97, 73, 50, 98, 84, 109, 174, 63
Potri.018G091000,4, 3, 4, 0, 1, 4, 0, 4
Potri.001G211600,242, 300, 255, 263, 212, 225, 227, 203
Potri.005G080100,418, 595, 420, 793, 733, 766, 476, 598
Potri.009G052100,0, 0, 0, 0, 1, 0, 0, 0
Potri.006G222900,923, 947, 989, 867, 874, 879, 714, 831
Potri.008G004100,126, 108, 139, 123, 121, 135, 111, 113
Potri.009G158400,317, 345, 265, 442, 440, 403, 288, 341
Potri.017G070500,255, 358, 223, 404, 482, 377, 322, 295
Potri.017G121400,14, 29, 27, 28, 30, 27, 14, 27
Potri.002G199500,1, 3, 2, 7, 7, 5, 5, 5
Potri.006G268300,2, 4, 2, 1, 3, 3, 3, 0
Potri.006G224500,2914, 3824, 3251, 3930, 3351, 3651, 2836, 3295
Potri.005G127900,290, 346, 329, 286, 237, 303, 293, 282
Potri.003G202100,246, 318, 289, 378, 302, 449, 552, 299
Potri.014G118400,77, 89, 83, 105, 84, 113, 113, 57
Potri.012G038400,77, 100, 104, 93, 92, 74, 58, 99
Potri.002G063600,1, 0, 0, 1, 0, 0, 0, 0
Potri.001G316700,363, 382, 396, 378, 317, 323, 332, 355
Potri.008G210000,118, 165, 141, 146, 142, 116, 116, 149
Potri.008G042400,716, 780, 809, 807, 755, 839, 668, 684
Potri.004G174800,0, 5, 3, 0, 2, 2, 3, 3
Potri.011G089600,9, 7, 16, 10, 28, 20, 7, 14
Potri.009G123900,19, 18, 28, 24, 27, 13, 10, 19
Potri.012G015900,119, 149, 130, 67, 69, 65, 67, 77
Potri.012G138100,5, 0, 1, 1, 2, 1, 5, 1
Potri.014G042600,8, 6, 1, 10, 9, 1, 2, 6
Potri.006G185100,98, 138, 103, 149, 178, 189, 109, 119
Potri.019G054400,201, 227, 231, 195, 153, 231, 159, 206
Potri.016G110400,63, 63, 40, 47, 46, 51, 49, 42
Potri.002G186100,144, 184, 140, 145, 174, 160, 130, 144
Potri.013G049800,81, 69, 84, 68, 73, 71, 60, 59
Potri.005G225700,232, 259, 227, 257, 202, 284, 176, 212
Potri.005G214600,138, 212, 120, 207, 212, 223, 260, 169
Potri.008G082500,370, 326, 367, 273, 247, 273, 268, 275
Potri.014G127700,287, 216, 228, 313, 137, 181, 298, 163
Potri.019G096900,333, 351, 359, 381, 413, 415, 288, 322
Potri.013G118800,3, 3, 5, 1, 3, 1, 1, 2
Potri.001G314700,33, 39, 29, 27, 46, 32, 19, 26
Potri.009G157000,173, 219, 216, 183, 191, 208, 124, 173
Potri.002G194300,0, 0, 0, 0, 0, 0, 0, 1
Potri.010G107000,4, 1, 2, 2, 2, 1, 4, 2
Potri.003G030000,904, 1332, 960, 1487, 1387, 1487, 1066, 1221
Potri.014G125700,211, 287, 239, 321, 294, 345, 235, 251
Potri.013G055200,154, 174, 162, 120, 70, 95, 83, 126
Potri.017G096400,32, 26, 22, 50, 47, 37, 19, 36
Potri.004G126600,0, 0, 0, 0, 0, 1, 1, 0
Potri.002G144600,1037, 889, 862, 807, 757, 878, 870, 781
Potri.018G024100,0, 0, 1, 1, 0, 0, 1, 0
Potri.001G350000,155, 163, 145, 219, 248, 214, 175, 198
Potri.017G053800,0, 1, 0, 0, 0, 0, 0, 0
Potri.001G083700,171, 66, 79, 143, 74, 168, 300, 57
Potri.006G213500,10, 20, 32, 11, 3, 6, 5, 4
Potri.012G117000,17, 171, 119, 77, 30, 42, 29, 114
Potri.001G468500,0, 2, 0, 0, 0, 0, 1, 0
Potri.011G082600,29, 45, 15, 22, 28, 20, 16, 36
Potri.016G015600,6, 6, 3, 2, 12, 3, 2, 4
Potri.018G109000,0, 0, 0, 1, 0, 0, 0, 0
Potri.001G043100,1502, 778, 935, 723, 1045, 660, 832, 925
Potri.002G016100,45, 38, 34, 81, 42, 82, 90, 37
Potri.014G082200,3, 6, 7, 1, 3, 3, 4, 1
Potri.001G048900,9, 24, 13, 24, 38, 18, 8, 35
Potri.007G103200,579, 681, 739, 484, 531, 500, 420, 592
Potri.006G020100,0, 0, 1, 2, 1, 0, 0, 0
Potri.019G092100,103, 135, 116, 101, 86, 107, 89, 94
Potri.002G202000,85, 95, 94, 72, 46, 87, 69, 53
Potri.013G127300,1085, 985, 1028, 774, 987, 880, 645, 830
Potri.019G039700,5877, 7909, 4901, 8669, 7463, 8643, 7152, 7870
Potri.T049900,0, 0, 0, 0, 1, 0, 0, 0
Potri.006G057600,75, 137, 102, 127, 92, 100, 80, 109
Potri.001G281700,4, 6, 4, 7, 2, 2, 9, 5
Potri.004G054800,18, 84, 47, 62, 14, 63, 74, 38
Potri.002G250100,21, 28, 25, 12, 13, 15, 3, 16
Potri.008G145400,81, 70, 59, 85, 111, 87, 92, 73
Potri.015G092800,589, 745, 914, 520, 301, 511, 381, 510
Potri.010G148700,33, 34, 21, 44, 36, 39, 27, 35
Potri.006G187500,18, 21, 11, 21, 10, 21, 10, 15
Potri.007G033800,465, 434, 537, 429, 483, 495, 420, 386
Potri.016G114400,0, 0, 0, 0, 0, 1, 0, 0
Potri.001G405400,0, 0, 0, 0, 0, 1, 0, 0
Potri.004G061400,0, 1, 0, 0, 0, 0, 0, 0
Potri.019G122900,3, 1, 3, 1, 2, 1, 0, 0
Potri.012G092000,226, 242, 204, 242, 231, 280, 234, 219
Potri.002G111400,218, 224, 205, 239, 271, 268, 223, 197
Potri.003G076300,114, 113, 129, 178, 140, 276, 260, 116
Potri.017G013900,183, 162, 197, 162, 140, 134, 95, 139
Potri.010G166100,665, 918, 714, 1087, 1205, 1057, 938, 888
Potri.014G156900,218, 227, 203, 172, 191, 149, 117, 168
Potri.002G127300,270, 295, 225, 350, 257, 413, 300, 184
Potri.004G217600,292, 407, 251, 464, 483, 474, 346, 346
Potri.010G056600,312, 444, 345, 272, 181, 262, 317, 246
Potri.013G000200,115, 165, 132, 173, 150, 199, 228, 133
Potri.006G158600,33, 39, 44, 55, 55, 77, 44, 41
Potri.007G046800,1, 0, 1, 1, 0, 0, 0, 0
Potri.T167600,11, 13, 18, 10, 9, 9, 10, 12
Potri.017G112200,382, 492, 461, 592, 552, 575, 510, 431
Potri.015G147400,37, 21, 30, 38, 17, 19, 18, 12
Potri.003G036400,4, 0, 1, 1, 0, 2, 2, 0
Potri.010G157300,68, 57, 65, 40, 71, 52, 54, 56
Potri.001G445700,0, 0, 0, 2, 0, 0, 1, 0
Potri.011G034300,35, 39, 24, 48, 43, 53, 39, 37
Potri.014G086000,1244, 1323, 1239, 1323, 1045, 1290, 1168, 1067
Potri.014G026800,276, 282, 310, 412, 317, 469, 338, 292
Potri.006G093300,34, 11, 26, 25, 20, 20, 6, 12
Potri.002G150200,0, 0, 1, 0, 0, 0, 0, 0
Potri.011G070100,141, 173, 172, 139, 107, 146, 105, 149
Potri.001G041500,59, 63, 55, 97, 71, 86, 90, 52
Potri.002G128300,10, 95, 26, 44, 21, 95, 87, 42
Potri.008G143800,21, 16, 26, 13, 16, 13, 17, 19
Potri.007G034000,4, 14, 10, 6, 8, 5, 3, 4
Potri.008G206100,2, 3, 5, 1, 1, 0, 0, 4
Potri.007G121900,276, 341, 289, 286, 277, 343, 288, 281
Potri.011G144800,989, 1015, 1016, 578, 708, 638, 586, 683
Potri.001G466400,10, 59, 42, 20, 18, 30, 19, 38
Potri.002G010500,1, 0, 0, 0, 0, 1, 1, 1
Potri.006G024300,5, 14, 20, 9, 2, 8, 1, 6
Potri.004G065400,258, 235, 223, 287, 385, 302, 144, 224
Potri.002G041100,36, 38, 41, 33, 34, 24, 14, 45
Potri.008G066300,225, 217, 233, 207, 186, 234, 163, 197
Potri.017G028100,45, 96, 88, 97, 44, 137, 72, 65
Potri.002G065000,242, 195, 220, 200, 159, 173, 147, 168
Potri.019G110600,0, 1, 0, 0, 0, 0, 0, 0
Potri.010G059600,269, 240, 254, 318, 224, 221, 203, 218
Potri.007G019700,106, 137, 111, 59, 85, 69, 57, 101
Potri.018G083200,795, 1026, 685, 978, 1084, 1201, 1026, 803
Potri.017G017100,307, 274, 243, 308, 268, 303, 225, 265
Potri.007G115000,96, 78, 92, 70, 68, 66, 46, 51
Potri.015G020300,9, 16, 13, 14, 13, 14, 20, 8
Potri.001G271900,71, 121, 77, 107, 60, 114, 54, 74
Potri.001G001300,309, 297, 379, 221, 226, 227, 202, 247
Potri.011G137500,2, 2, 1, 1, 1, 5, 1, 3
Potri.008G103200,0, 4, 5, 1, 1, 5, 2, 2
Potri.005G017300,412, 366, 307, 358, 463, 299, 223, 353
Potri.007G042000,2, 1, 1, 0, 0, 1, 0, 0
Potri.015G057400,1267, 1472, 1465, 1058, 1166, 1053, 808, 1127
Potri.001G450300,0, 0, 0, 0, 0, 1, 0, 0
Potri.012G061400,298, 479, 324, 698, 649, 701, 441, 437
Potri.007G039400,149, 122, 97, 83, 162, 106, 92, 108
Potri.004G098100,124, 142, 131, 94, 131, 115, 95, 85
Potri.005G185400,354, 139, 145, 195, 277, 248, 415, 307
Potri.001G162400,1694, 1092, 1524, 1360, 1147, 1576, 669, 921
Potri.004G067800,1284, 339, 333, 362, 743, 467, 733, 644
Potri.011G016300,72, 122, 118, 136, 107, 141, 82, 121
Potri.012G096800,44, 50, 71, 74, 50, 82, 62, 52
Potri.002G097400,49, 74, 94, 50, 43, 70, 38, 58
Potri.012G063800,89, 95, 107, 102, 101, 101, 62, 90
Potri.007G053000,138, 160, 117, 140, 168, 144, 97, 129
Potri.011G127100,12, 17, 9, 17, 21, 20, 18, 14
Potri.001G117600,8, 5, 10, 7, 7, 1, 4, 10
Potri.016G001900,4, 0, 0, 3, 4, 3, 2, 3
Potri.013G155100,265, 415, 272, 446, 588, 423, 359, 394
Potri.001G357000,569, 817, 628, 933, 789, 984, 818, 710
Potri.011G024000,399, 554, 477, 884, 811, 821, 464, 584
Potri.009G070200,88, 38, 93, 36, 18, 40, 33, 28
Potri.005G105000,12, 8, 1, 5, 5, 5, 3, 3
Potri.005G055400,8, 11, 7, 8, 12, 3, 5, 5
Potri.012G056800,17, 29, 36, 24, 18, 24, 30, 22
Potri.T114800,2, 6, 4, 7, 4, 7, 9, 2
Potri.005G110200,103, 112, 73, 69, 72, 94, 75, 83
Potri.008G076700,1, 2, 0, 0, 2, 0, 0, 2
Potri.001G449700,1, 0, 2, 0, 1, 1, 0, 0
Potri.001G208000,5, 12, 8, 8, 4, 4, 1, 3
Potri.T121400,1, 3, 1, 5, 4, 4, 8, 2
Potri.018G122600,1, 1, 2, 1, 1, 0, 1, 1
Potri.003G090500,0, 1, 3, 1, 0, 4, 0, 0
Potri.019G051300,316, 328, 257, 305, 324, 310, 298, 260
Potri.010G130300,278, 311, 281, 262, 258, 270, 212, 240
Potri.009G015500,8, 8, 5, 9, 3, 10, 5, 5
Potri.006G127800,80, 80, 116, 67, 80, 77, 75, 50
Potri.005G162100,1003, 1082, 1289, 768, 641, 764, 693, 694
Potri.005G064500,2, 2, 0, 1, 3, 4, 2, 2
Potri.004G097300,199, 248, 244, 244, 270, 255, 191, 246
Potri.007G125100,2, 1, 1, 2, 1, 2, 0, 3
Potri.004G125700,3, 2, 1, 2, 0, 1, 3, 2
Potri.012G102100,52, 43, 68, 28, 53, 26, 31, 36
Potri.014G147500,32, 40, 23, 43, 51, 35, 27, 30
Potri.006G221100,134, 168, 130, 132, 156, 126, 84, 129
Potri.018G065200,46, 27, 28, 23, 36, 13, 19, 25
Potri.009G030800,25816, 29464, 32638, 19000, 16574, 18119, 13208, 20197
Potri.017G065600,0, 0, 0, 1, 0, 1, 0, 1
Potri.003G148900,1, 1, 4, 3, 2, 4, 3, 4
Potri.003G096900,7, 9, 11, 3, 4, 14, 6, 6
Potri.013G146100,1, 0, 0, 0, 0, 2, 0, 1
Potri.001G122200,1017, 1043, 1159, 753, 634, 738, 696, 727
Potri.018G088800,3, 0, 0, 0, 0, 1, 0, 0
Potri.005G013100,1, 4, 1, 2, 3, 5, 3, 1
Potri.009G135100,237, 219, 303, 209, 217, 234, 194, 211
Potri.014G157100,290, 284, 296, 282, 255, 265, 197, 250
Potri.001G252000,115, 144, 134, 138, 110, 142, 106, 91
Potri.008G138100,479, 515, 431, 579, 572, 542, 460, 470
Potri.001G111600,27, 41, 33, 33, 25, 33, 16, 31
Potri.001G307800,11, 21, 11, 26, 23, 20, 19, 21
Potri.008G079100,56, 34, 39, 27, 16, 21, 22, 21
Potri.008G015900,1, 5, 1, 3, 1, 2, 3, 1
Potri.001G243200,0, 0, 0, 0, 1, 0, 0, 0
Potri.014G041400,104, 102, 84, 89, 97, 82, 57, 92
Potri.011G117000,794, 841, 805, 433, 453, 439, 347, 551
Potri.018G002000,180, 202, 203, 251, 213, 220, 171, 233
Potri.005G198300,163, 205, 190, 177, 253, 204, 124, 172
Potri.007G084800,8, 3, 13, 4, 10, 6, 7, 14
Potri.003G084100,878, 1371, 1132, 1193, 992, 1140, 927, 1096
Potri.002G185100,6, 6, 7, 10, 16, 11, 5, 10
Potri.001G089000,41, 19, 36, 17, 20, 14, 13, 14
Potri.007G093400,885, 1069, 854, 1174, 1156, 1109, 855, 943
Potri.016G134200,144, 151, 203, 161, 163, 200, 150, 133
Potri.T057800,228, 240, 226, 189, 132, 146, 141, 160
Potri.010G010400,7, 2, 8, 4, 6, 4, 5, 6
Potri.001G248600,5, 5, 6, 3, 3, 2, 3, 6
Potri.013G108600,190, 181, 126, 109, 156, 161, 131, 138
Potri.013G147900,1, 0, 1, 3, 1, 1, 0, 1
Potri.002G236300,76, 71, 75, 89, 77, 98, 51, 69
Potri.006G228700,93, 67, 77, 66, 80, 74, 70, 84
Potri.011G010300,3, 4, 3, 2, 4, 2, 1, 2
Potri.019G124400,155, 66, 74, 72, 112, 93, 105, 103
Potri.006G147200,8, 3, 5, 3, 12, 4, 4, 3
Potri.006G123000,379, 582, 437, 538, 477, 531, 453, 449
Potri.014G184900,11, 17, 7, 30, 19, 58, 39, 13
Potri.012G144400,210, 247, 230, 373, 429, 360, 256, 300
Potri.010G242500,1, 2, 1, 1, 0, 1, 2, 1
Potri.006G233900,14, 20, 11, 19, 32, 27, 24, 21
Potri.019G131400,4528, 4180, 3995, 3908, 3682, 3639, 3167, 3580
Potri.004G129700,496, 339, 550, 316, 393, 328, 329, 344
Potri.003G138100,135, 153, 125, 186, 198, 200, 184, 155
Potri.003G182400,3, 0, 0, 0, 0, 0, 0, 0
Potri.017G067600,10, 8, 15, 17, 9, 11, 11, 12
Potri.T083000,6, 8, 6, 12, 8, 14, 7, 6
Potri.001G251000,122, 106, 88, 174, 118, 134, 109, 91
Potri.006G079700,665, 622, 742, 424, 485, 486, 407, 474
Potri.016G031600,156, 166, 109, 159, 168, 125, 87, 128
Potri.013G101000,2, 0, 4, 3, 3, 4, 3, 2
Potri.005G116200,174, 244, 357, 206, 128, 219, 124, 146
Potri.011G087000,1, 0, 1, 2, 0, 1, 0, 3
Potri.001G300000,0, 1, 0, 2, 1, 0, 0, 0
Potri.001G092600,840, 975, 816, 740, 709, 799, 868, 855
Potri.009G053300,140, 212, 160, 131, 88, 157, 117, 124
Potri.005G254900,227, 236, 250, 158, 111, 144, 139, 143
Potri.006G039100,49, 44, 48, 15, 29, 26, 28, 27
Potri.009G119800,312, 379, 305, 338, 386, 411, 317, 290
Potri.004G160600,10, 11, 6, 11, 13, 18, 13, 10
Potri.001G094600,79, 106, 93, 85, 86, 108, 69, 94
Potri.016G084400,4500, 4576, 5184, 3314, 3371, 3357, 2839, 3350
Potri.006G032900,799, 817, 702, 587, 542, 615, 573, 563
Potri.013G010400,65, 53, 57, 101, 64, 98, 76, 45
Potri.008G190900,8, 12, 12, 8, 4, 9, 6, 5
Potri.010G142000,2344, 2267, 2672, 1450, 1343, 1402, 1320, 1446
Potri.003G163600,40, 64, 59, 65, 64, 64, 62, 50
Potri.003G203000,235, 240, 227, 229, 233, 221, 183, 206
Potri.002G260100,176, 161, 136, 204, 215, 208, 166, 163
Potri.006G144800,18, 28, 25, 14, 15, 16, 13, 28
Potri.010G066000,376, 458, 403, 495, 469, 434, 356, 384
Potri.013G064800,173, 179, 178, 219, 219, 256, 188, 179
Potri.002G175000,228, 309, 196, 206, 266, 242, 182, 225
Potri.002G139600,13, 36, 18, 27, 26, 45, 20, 32
Potri.012G104500,1112, 1184, 1102, 1322, 1240, 1304, 959, 1130
Potri.001G245300,287, 338, 389, 264, 294, 325, 184, 258
Potri.003G155900,0, 3, 2, 1, 2, 1, 2, 1
Potri.006G227500,660, 1003, 798, 1091, 967, 1131, 871, 885
Potri.004G005200,132, 164, 204, 80, 91, 101, 54, 112
Potri.007G024600,193, 283, 181, 243, 409, 259, 149, 266
Potri.005G183000,0, 0, 0, 0, 0, 1, 0, 0
Potri.T099100,24, 20, 42, 26, 17, 20, 13, 35
Potri.016G071000,1, 2, 4, 7, 7, 10, 3, 3
Potri.004G162600,251, 229, 189, 197, 220, 200, 230, 205
Potri.019G128400,12, 7, 9, 2, 2, 4, 4, 7
Potri.014G061300,0, 0, 0, 0, 0, 0, 0, 1
Potri.T053000,11, 20, 8, 36, 34, 36, 36, 24
Potri.003G062700,107, 120, 99, 117, 166, 140, 112, 117
Potri.005G259300,11, 38, 25, 31, 16, 37, 18, 21
Potri.002G057100,129, 99, 134, 90, 66, 73, 91, 86
Potri.007G031700,35, 62, 63, 24, 34, 30, 38, 43
Potri.019G024300,197, 362, 209, 409, 458, 449, 306, 367
Potri.018G116000,24, 12, 22, 23, 25, 13, 15, 9
Potri.010G171600,3628, 4002, 4156, 3109, 3483, 3046, 2538, 3463
Potri.004G047700,280, 361, 290, 326, 343, 341, 269, 293
Potri.002G015200,582, 476, 503, 382, 540, 420, 259, 404
Potri.T060000,397, 338, 361, 387, 381, 412, 307, 299
Potri.015G065100,72, 62, 63, 61, 83, 70, 45, 50
Potri.002G008600,259, 298, 265, 359, 364, 381, 289, 308
Potri.016G130000,216, 346, 219, 275, 316, 289, 230, 243
Potri.004G014800,4, 1, 3, 2, 2, 0, 1, 0
Potri.004G078400,2, 1, 0, 1, 0, 0, 0, 3
Potri.017G035100,0, 0, 0, 1, 2, 1, 0, 1
Potri.002G136200,198, 173, 182, 233, 263, 273, 214, 174
Potri.003G181400,6183, 7546, 7332, 7871, 5120, 8439, 8262, 6444
Potri.005G171100,77, 73, 69, 35, 41, 52, 44, 43
Potri.013G003800,0, 0, 0, 0, 0, 1, 2, 0
Potri.001G440700,0, 1, 0, 0, 0, 0, 0, 0
Potri.015G044900,0, 3, 0, 1, 1, 0, 0, 1
Potri.017G129500,200, 142, 184, 152, 159, 163, 146, 136
Potri.015G079500,185, 264, 218, 229, 202, 202, 168, 203
Potri.010G146200,2, 0, 0, 0, 1, 2, 0, 1
Potri.008G168700,286, 230, 193, 136, 200, 150, 121, 158
Potri.013G040400,0, 1, 0, 0, 0, 0, 0, 0
Potri.T156100,2, 0, 1, 1, 2, 0, 0, 0
Potri.010G204200,58, 60, 62, 37, 31, 27, 16, 31
Potri.015G133400,387, 562, 371, 442, 673, 488, 390, 443
Potri.001G395900,15, 23, 28, 26, 19, 33, 28, 21
Potri.001G098600,1044, 1200, 1108, 968, 888, 990, 758, 901
Potri.008G097700,14, 22, 21, 37, 26, 26, 22, 21
Potri.001G276400,22, 16, 30, 36, 16, 19, 23, 26
Potri.008G125300,0, 2, 0, 1, 0, 0, 0, 0
Potri.004G001000,11, 10, 7, 7, 6, 1, 3, 8
Potri.013G093200,16, 15, 14, 12, 19, 9, 8, 11
Potri.010G040000,129, 145, 150, 127, 141, 145, 100, 123
Potri.003G183800,420, 332, 379, 421, 346, 483, 576, 301
Potri.019G014100,327, 280, 344, 168, 208, 211, 176, 188
Potri.004G045700,288, 231, 266, 258, 290, 233, 177, 236
Potri.011G145400,247, 281, 377, 240, 189, 212, 226, 233
Potri.002G159600,4, 0, 2, 1, 2, 1, 0, 3
Potri.001G073700,131, 107, 126, 112, 121, 123, 95, 109
Potri.001G159300,5, 6, 9, 4, 1, 3, 1, 3
Potri.008G052800,4, 5, 5, 8, 7, 4, 6, 8
Potri.001G071700,119, 123, 103, 115, 128, 135, 92, 101
Potri.005G206400,35, 45, 31, 59, 45, 66, 43, 43
Potri.003G193200,126, 300, 241, 229, 97, 209, 86, 169
Potri.008G175800,602, 559, 697, 319, 346, 376, 379, 369
Potri.018G074700,0, 0, 1, 0, 0, 0, 0, 2
Potri.008G091700,475, 573, 558, 625, 551, 640, 415, 527
Potri.012G045000,301, 269, 293, 258, 259, 215, 191, 231
Potri.015G118500,23, 25, 25, 38, 30, 34, 23, 26
Potri.009G069800,343, 308, 358, 239, 201, 239, 201, 205
Potri.002G055500,8, 3, 1, 1, 3, 2, 0, 0
Potri.005G024000,156, 176, 158, 105, 100, 136, 94, 104
Potri.015G076500,119, 114, 94, 145, 97, 153, 181, 102
Potri.015G032700,14, 12, 28, 6, 16, 6, 5, 11
Potri.019G079900,240, 298, 275, 234, 250, 238, 184, 201
Potri.001G136400,64, 91, 66, 84, 76, 94, 68, 64
Potri.017G024900,1, 3, 0, 2, 3, 2, 2, 3
Potri.005G134400,922, 953, 842, 854, 853, 842, 647, 774
Potri.001G215500,96, 100, 107, 89, 70, 96, 70, 76
Potri.008G128500,88, 83, 89, 79, 57, 72, 47, 65
Potri.003G104100,0, 3, 2, 0, 0, 0, 1, 0
Potri.005G086400,58, 41, 55, 46, 33, 46, 27, 39
Potri.009G054200,44, 77, 51, 64, 93, 63, 32, 71
Potri.002G086700,1, 1, 0, 0, 0, 2, 0, 0
Potri.006G084200,66, 74, 59, 114, 57, 110, 83, 62
Potri.008G002200,211, 182, 213, 139, 174, 150, 151, 135
Potri.001G218900,31, 30, 35, 34, 64, 43, 26, 29
Potri.003G109500,0, 7, 1, 2, 6, 2, 2, 1
Potri.007G079800,1, 5, 5, 5, 0, 6, 5, 2
Potri.T145200,15, 15, 8, 15, 12, 26, 16, 11
Potri.009G012300,359, 273, 305, 238, 202, 231, 216, 245
Potri.001G058800,40, 66, 47, 36, 29, 34, 37, 30
Potri.002G076600,31, 31, 25, 41, 17, 22, 15, 25
Potri.001G439300,0, 0, 0, 0, 0, 0, 0, 2
Potri.004G072000,1, 0, 2, 0, 1, 0, 4, 3
Potri.010G055000,199, 212, 194, 199, 193, 193, 131, 184
Potri.010G019200,13, 36, 8, 121, 159, 119, 59, 47
Potri.015G040100,289, 370, 332, 438, 483, 433, 300, 371
