gene_id	go_id
Potri.001G000500	GO:0005507
Potri.001G000500	GO:0016491
Potri.001G000500	GO:0055114
Potri.001G000600	GO:0005507
Potri.001G000600	GO:0016491
Potri.001G000600	GO:0055114
Potri.001G000800	GO:0003777
Potri.001G000800	GO:0005524
Potri.001G000800	GO:0005871
Potri.001G000800	GO:0007018
Potri.001G000800	GO:0008017
Potri.001G001500	GO:0005515
Potri.001G001500	GO:0008270
Potri.001G001600	GO:0000287
Potri.001G001600	GO:0004743
Potri.001G001600	GO:0006096
Potri.001G001600	GO:0030955
Potri.001G001700	GO:0006491
Potri.001G002200	GO:0004252
Potri.001G002200	GO:0006508
Potri.001G002300	GO:0004672
Potri.001G002300	GO:0005524
Potri.001G002300	GO:0006468
Potri.001G002400	GO:0003700
Potri.001G002400	GO:0006355
Potri.001G002400	GO:0043565
Potri.001G002500	GO:0005524
Potri.001G002600	GO:0003723
Potri.001G002800	GO:0005506
Potri.001G002800	GO:0016705
Potri.001G002800	GO:0020037
Potri.001G002800	GO:0055114
Potri.001G003000	GO:0005506
Potri.001G003000	GO:0016705
Potri.001G003000	GO:0020037
Potri.001G003000	GO:0055114
Potri.001G003100	GO:0005506
Potri.001G003100	GO:0016705
Potri.001G003100	GO:0020037
Potri.001G003100	GO:0055114
Potri.001G003200	GO:0005515
Potri.001G003700	GO:0003677
Potri.001G003700	GO:0003899
Potri.001G003700	GO:0006351
Potri.001G003900	GO:0004198
Potri.001G003900	GO:0005622
Potri.001G003900	GO:0006508
Potri.001G004200	GO:0001104
Potri.001G004200	GO:0006357
Potri.001G004200	GO:0016592
Potri.001G004300	GO:0003746
Potri.001G004300	GO:0005737
Potri.001G004300	GO:0006414
Potri.001G004300	GO:0043043
Potri.001G004600	GO:0003924
Potri.001G004600	GO:0005874
Potri.001G004600	GO:0007017
Potri.001G004700	GO:0003700
Potri.001G004700	GO:0006355
Potri.001G004800	GO:0005515
Potri.001G005000	GO:0004045
Potri.001G005700	GO:0010277
Potri.001G005700	GO:0016491
Potri.001G005700	GO:0051537
Potri.001G005700	GO:0055114
Potri.001G005900	GO:0010277
Potri.001G005900	GO:0016491
Potri.001G005900	GO:0051537
Potri.001G005900	GO:0055114
Potri.001G006100	GO:0004672
Potri.001G006100	GO:0006468
Potri.001G006100	GO:0048544
Potri.001G006300	GO:0005669
Potri.001G006300	GO:0006367
Potri.001G006400	GO:0003676
Potri.001G006500	GO:0004553
Potri.001G006500	GO:0005975
Potri.001G006600	GO:0003824
Potri.001G006600	GO:0008152
Potri.001G006700	GO:0003824
Potri.001G006700	GO:0008152
Potri.001G006800	GO:0016491
Potri.001G006800	GO:0055114
Potri.001G006900	GO:0016491
Potri.001G006900	GO:0055114
Potri.001G007000	GO:0005515
Potri.001G007100	GO:0016491
Potri.001G007100	GO:0055114
Potri.001G007200	GO:0003333
Potri.001G007200	GO:0006810
Potri.001G007200	GO:0015171
Potri.001G007200	GO:0016020
Potri.001G007200	GO:0055085
Potri.001G007300	GO:0003333
Potri.001G007300	GO:0006810
Potri.001G007300	GO:0015171
Potri.001G007300	GO:0016020
Potri.001G007300	GO:0055085
Potri.001G007600	GO:0009058
Potri.001G007600	GO:0016740
Potri.001G007700	GO:0009058
Potri.001G007700	GO:0016740
Potri.001G007800	GO:0016787
Potri.001G007900	GO:0003676
Potri.001G007900	GO:0005524
Potri.001G008000	GO:0005515
Potri.001G008600	GO:0004584
Potri.001G008600	GO:0006506
Potri.001G008700	GO:0003723
Potri.001G009400	GO:0005515
Potri.001G009600	GO:0003682
Potri.001G009700	GO:0004672
Potri.001G009700	GO:0005524
Potri.001G009700	GO:0006468
Potri.001G009900	GO:0006812
Potri.001G009900	GO:0008324
Potri.001G009900	GO:0016021
Potri.001G009900	GO:0055085
