gene_id	external_gene_name	description
Potri.001G000100	zinc_ion_binding;nucleic_acid_binding	zinc_ion_binding;nucleic_acid_binding
Potri.001G000200	zinc_ion_binding;nucleic_acid_binding	zinc_ion_binding;nucleic_acid_binding
Potri.001G000300	NA	NA
Potri.001G000400	Protein_of_unknown_function_(DUF3317)	Protein_of_unknown_function_(DUF3317)
Potri.001G000500	SKU5__similar_12	SKU5__similar_12
Potri.001G000600	SKU5__similar_12	SKU5__similar_12
Potri.001G000700	purin-rich_alpha_1	purin-rich_alpha_1
Potri.001G000800	P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein
Potri.001G000900	NA	NA
Potri.001G001000	NA	NA
Potri.001G001100	expansin_A15	expansin_A15
Potri.001G001200	Nuclear_pore_complex_protein	Nuclear_pore_complex_protein
Potri.001G001300	Uncharacterised_conserved_protein_UCP022280	Uncharacterised_conserved_protein_UCP022280
Potri.001G001400	NA	NA
Potri.001G001500	RING/U-box_superfamily_protein	RING/U-box_superfamily_protein
Potri.001G001600	Pyruvate_kinase_family_protein	Pyruvate_kinase_family_protein
Potri.001G001700	calmodulin-binding_protein	calmodulin-binding_protein
Potri.001G001800	NA	NA
Potri.001G001900	NA	NA
Potri.001G002000	evolutionarily_conserved_C-terminal_region_2	evolutionarily_conserved_C-terminal_region_2
Potri.001G002100	NA	NA
Potri.001G002200	Subtilisin-like_serine_endopeptidase_family_protein	Subtilisin-like_serine_endopeptidase_family_protein
Potri.001G002300	Protein_kinase_superfamily_protein	Protein_kinase_superfamily_protein
Potri.001G002400	WRKY_DNA-binding_protein_51	WRKY_DNA-binding_protein_51
Potri.001G002500	TCP-1/cpn60_chaperonin_family_protein	TCP-1/cpn60_chaperonin_family_protein
Potri.001G002600	pumilio_12	pumilio_12
Potri.001G002700	protein_containing_PDZ_domain,_a_K-box_domain,_and_a_TPR_region	protein_containing_PDZ_domain,_a_K-box_domain,_and_a_TPR_region
Potri.001G002800	cytochrome_P450,_family_716,_subfamily_A,_polypeptide_1	cytochrome_P450,_family_716,_subfamily_A,_polypeptide_1
Potri.001G002900	NA	NA
Potri.001G003000	cytochrome_P450,_family_716,_subfamily_A,_polypeptide_1	cytochrome_P450,_family_716,_subfamily_A,_polypeptide_1
Potri.001G003100	cytochrome_P450,_family_716,_subfamily_A,_polypeptide_1	cytochrome_P450,_family_716,_subfamily_A,_polypeptide_1
Potri.001G003100	cytochrome_P450,_family_716,_subfamily_A,_polypeptide_2	cytochrome_P450,_family_716,_subfamily_A,_polypeptide_2
Potri.001G003200	receptor_like_protein_46	receptor_like_protein_46
Potri.001G003300	NA	NA
Potri.001G003400	Uncharacterised_conserved_protein_UCP009193	Uncharacterised_conserved_protein_UCP009193
Potri.001G003500	NA	NA
Potri.001G003600	RNA_methyltransferase_family_protein	RNA_methyltransferase_family_protein
Potri.001G003700	DNA_binding;DNA-directed_RNA_polymerases	DNA_binding;DNA-directed_RNA_polymerases
Potri.001G003800	Protein_of_Unknown_Function_(DUF239)	Protein_of_Unknown_Function_(DUF239)
Potri.001G003900	calpain-type_cysteine_protease_family	calpain-type_cysteine_protease_family
Potri.001G004000	Protein_of_unknown_function_(DUF1639)	Protein_of_unknown_function_(DUF1639)
Potri.001G004100	arabinogalactan_protein_14	arabinogalactan_protein_14
Potri.001G004200	RNA_polymerase_II_transcription_mediators	RNA_polymerase_II_transcription_mediators
Potri.001G004300	elongation_factor_P_(EF-P)_family_protein	elongation_factor_P_(EF-P)_family_protein
Potri.001G004400	NA	NA
Potri.001G004500	Mitochondrial_substrate_carrier_family_protein	Mitochondrial_substrate_carrier_family_protein
Potri.001G004600	tubulin_alpha-3	tubulin_alpha-3
Potri.001G004700	related_to_AP2_11	related_to_AP2_11
Potri.001G004800	ARM_repeat_superfamily_protein	ARM_repeat_superfamily_protein
Potri.001G004900	NA	NA
Potri.001G005000	Peptidyl-tRNA_hydrolase_family_protein	Peptidyl-tRNA_hydrolase_family_protein
